concept_id,found_from,concept_name,domain_id,vocabulary_id,standard_concept,broad_inc,narrow_inc,SCLC,Broad_prev,narrow_prev
36543960,From descendants,"Adenocarcinoma with apocrine metaplasia of middle lobe, lung",Condition,ICDO3,standard,y,y,n,y,y
36543984,From descendants,"Squamous cell carcinoma, spindle cell of lung, NOS",Condition,ICDO3,standard,y,y,n,y,y
36544100,From descendants,"Adenocarcinoid tumor of upper lobe, lung",Condition,ICDO3,standard,y,y,n,y,y
36544299,From descendants,"Fibrous mesothelioma, malignant of upper lobe, lung",Condition,ICDO3,standard,y,n,n,y,n
36544737,From descendants,"Cloacogenic carcinoma of lung, NOS",Condition,ICDO3,standard,y,y,n,y,y
36545242,From descendants,"Adenoid cystic carcinoma of upper lobe, lung",Condition,ICDO3,standard,y,n,n,y,n
36545286,From descendants,"Solid carcinoma, NOS, of middle lobe, lung",Condition,ICDO3,standard,y,y,n,y,y
36545324,From descendants,"Epithelial-myoepithelial carcinoma of lower lobe, lung",Condition,ICDO3,standard,y,n,n,y,n
36545372,From descendants,"Carcinoma, anaplastic, NOS, of lung, NOS",Condition,ICDO3,standard,y,y,n,y,y
36545406,From descendants,"Glassy cell carcinoma of middle lobe, lung",Condition,ICDO3,standard,y,n,n,y,n
36545785,From descendants,"Squamous cell carcinoma, adenoid of lower lobe, lung",Condition,ICDO3,standard,y,y,n,y,y
36546205,From descendants,"Mesothelioma, malignant of upper lobe, lung",Condition,ICDO3,standard,y,n,n,y,n
36546260,From descendants,"Carcinoma simplex of lung, NOS",Condition,ICDO3,standard,y,y,n,y,y
36546410,From descendants,"Superficial spreading adenocarcinoma of middle lobe, lung",Condition,ICDO3,standard,y,y,n,y,y
36546635,From descendants,"Adenocarcinoma, intestinal type of lung, NOS",Condition,ICDO3,standard,y,y,n,y,y
36546742,From descendants,"Adenocarcinoid tumor of lower lobe, lung",Condition,ICDO3,standard,y,y,n,y,y
36547041,From descendants,"Mesothelioma, biphasic, malignant of middle lobe, lung",Condition,ICDO3,standard,y,n,n,y,n
36547511,From descendants,"Carcinoma simplex of lower lobe, lung",Condition,ICDO3,standard,y,y,n,y,y
36547828,From descendants,"Metaplastic carcinoma, NOS, of middle lobe, lung",Condition,ICDO3,standard,y,y,n,y,y
36548193,From descendants,"Adenocarcinoma with cartilaginous and osseous metaplasia of lung, NOS",Condition,ICDO3,standard,y,y,n,y,y
36548201,From descendants,"Squamous cell carcinoma, adenoid of middle lobe, lung",Condition,ICDO3,standard,y,y,n,y,y
36548626,From descendants,Adenocarcinoma with mixed subtypes of overlapping lesion of lung,Condition,ICDO3,standard,y,y,n,y,y
36548902,From descendants,"Basaloid carcinoma of lower lobe, lung",Condition,ICDO3,standard,y,y,n,y,y
36548970,From descendants,"Metaplastic carcinoma, NOS, of overlapping lesion of lung",Condition,ICDO3,standard,y,y,n,y,y
36549159,From descendants,"Squamous cell carcinoma, microinvasive of middle lobe, lung",Condition,ICDO3,standard,y,y,n,y,y
36549175,From descendants,"Scirrhous adenocarcinoma of middle lobe, lung",Condition,ICDO3,standard,y,y,n,y,y
36549522,From descendants,"Hepatoid adenocarcinoma of lung, NOS",Condition,ICDO3,standard,y,n,n,y,n
36549565,From descendants,"Fibrous mesothelioma, malignant of overlapping lesion of lung",Condition,ICDO3,standard,y,n,n,y,n
36549769,From descendants,"Basal cell adenocarcinoma of upper lobe, lung",Condition,ICDO3,standard,y,y,n,y,y
36549979,From descendants,Adenocarcinoma with cartilaginous and osseous metaplasia of overlapping lesion of lung,Condition,ICDO3,standard,y,y,n,y,y
36550125,From descendants,"Small cell carcinoma, fusiform cell of overlapping lesion of lung",Condition,ICDO3,standard,n,n,y,n,n
36550225,From descendants,"Epithelial-myoepithelial carcinoma of middle lobe, lung",Condition,ICDO3,standard,y,n,n,y,n
36551818,From descendants,Adenocarcinoma with apocrine metaplasia of overlapping lesion of lung,Condition,ICDO3,standard,y,y,n,y,y
36551824,From descendants,Non-small cell carcinoma of overlapping lesion of lung,Condition,ICDO3,standard,y,y,n,y,y
36552086,From descendants,"Adenocarcinoma with squamous metaplasia of middle lobe, lung",Condition,ICDO3,standard,y,y,n,y,y
36552316,From descendants,"Small cell carcinoma, fusiform cell of upper lobe, lung",Condition,ICDO3,standard,n,n,y,n,n
36552385,From descendants,"Adenocarcinoma of lung, mixed mucinous and non-mucinous of overlapping lesion of lung",Condition,ICDO3,standard,y,y,n,y,y
36552939,From descendants,"Squamous cell carcinoma, microinvasive of upper lobe, lung",Condition,ICDO3,standard,y,y,n,y,y
36553379,From descendants,"Epithelial-myoepithelial carcinoma of upper lobe, lung",Condition,ICDO3,standard,y,n,n,y,n
36553787,From descendants,"Adenocarcinoma of lung, mucinous of middle lobe, lung",Condition,ICDO3,standard,y,y,n,y,y
36554343,From descendants,"Adenocarcinoid tumor of lung, NOS",Condition,ICDO3,standard,y,y,n,y,y
36554642,From descendants,"Squamous cell carcinoma, microinvasive of lung, NOS",Condition,ICDO3,standard,y,y,n,y,y
36555136,From descendants,"Basaloid carcinoma of middle lobe, lung",Condition,ICDO3,standard,y,y,n,y,y
36555210,From descendants,"Mesothelioma, biphasic, malignant of upper lobe, lung",Condition,ICDO3,standard,y,n,n,y,n
36555685,From descendants,"Medullary carcinoma, NOS, of middle lobe, lung",Condition,ICDO3,standard,y,n,n,y,n
36555703,From descendants,"Papillary adenocarcinoma, NOS, of overlapping lesion of lung",Condition,ICDO3,standard,y,y,n,y,y
36556267,From descendants,"Schneiderian carcinoma of upper lobe, lung",Condition,ICDO3,standard,y,n,n,y,n
36556287,From descendants,"Malignant mastocytosis of upper lobe, lung",Condition,ICDO3,standard,n,n,n,n,n
36556317,From descendants,"Mesothelioma, biphasic, malignant of lung, NOS",Condition,ICDO3,standard,y,n,n,y,n
36556450,From descendants,Mucinous adenocarcinoma of overlapping lesion of lung,Condition,ICDO3,standard,y,y,n,y,y
36556614,From descendants,"Clear cell adenocarcinoma, NOS, of middle lobe, lung",Condition,ICDO3,standard,y,y,n,y,y
36556624,From descendants,Schneiderian carcinoma of overlapping lesion of lung,Condition,ICDO3,standard,y,n,n,y,n
36556677,From descendants,"Epithelioma, malignant of lung, NOS",Condition,ICDO3,standard,y,y,n,y,y
36557194,From descendants,"Solitary fibrous tumor, malignant of lower lobe, lung",Condition,ICDO3,standard,n,n,n,n,n
36557572,From descendants,"Mesothelioma, malignant of middle lobe, lung",Condition,ICDO3,standard,y,n,n,y,n
36557631,From descendants,"Malignant mastocytosis of lung, NOS",Condition,ICDO3,standard,n,n,n,n,n
36557699,From descendants,"Hepatoid adenocarcinoma of upper lobe, lung",Condition,ICDO3,standard,y,n,n,y,n
36558320,From descendants,"Malignant fibrous histiocytoma of middle lobe, lung",Condition,ICDO3,standard,n,n,n,n,n
36558400,From descendants,Hepatoid adenocarcinoma of overlapping lesion of lung,Condition,ICDO3,standard,y,n,n,y,n
36558515,From descendants,"Cribriform carcinoma, NOS, of upper lobe, lung",Condition,ICDO3,standard,y,y,n,y,y
36558543,From descendants,"Carcinoma, undifferentiated, NOS, of overlapping lesion of lung",Condition,ICDO3,standard,y,y,n,y,y
36558610,From descendants,"Cloacogenic carcinoma of middle lobe, lung",Condition,ICDO3,standard,y,y,n,y,y
36558877,From descendants,"Alveolar adenocarcinoma of lung, NOS",Condition,ICDO3,standard,y,y,n,y,y
36559186,From descendants,"Verrucous carcinoma, NOS, of middle lobe, lung",Condition,ICDO3,standard,y,n,n,y,n
36559822,From descendants,"Mesothelioma, malignant of overlapping lesion of lung",Condition,ICDO3,standard,y,n,n,y,n
36559892,From descendants,Alveolar adenocarcinoma of overlapping lesion of lung,Condition,ICDO3,standard,y,y,n,y,y
36560118,From descendants,Papillary squamous cell carcinoma of overlapping lesion of lung,Condition,ICDO3,standard,y,y,n,y,y
36560247,From descendants,Combined small cell carcinoma of overlapping lesion of lung,Condition,ICDO3,standard,n,n,y,n,n
36560499,From descendants,"Glassy cell carcinoma of lower lobe, lung",Condition,ICDO3,standard,y,n,n,y,n
36560854,From descendants,"Cribriform carcinoma, NOS, of lower lobe, lung",Condition,ICDO3,standard,y,y,n,y,y
36561274,From descendants,"Papillary squamous cell carcinoma of middle lobe, lung",Condition,ICDO3,standard,y,y,n,y,y
36561629,From descendants,"Malignant mastocytosis of lower lobe, lung",Condition,ICDO3,standard,n,n,n,n,n
36561699,From descendants,"Polygonal cell carcinoma of lower lobe, lung",Condition,ICDO3,standard,y,n,n,y,n
